DECL E6POS XP1={X 340.462067,Y -56.1274376,Z 700.411,A 176.796936,B 44.9466286,C 179.567368}
DECL E6POS XP2={X 100.352745,Y -57.2736206,Z 716.020874,A 170.975174,B 68.5374680,C 172.395981}
DECL E6POS XP3={X 173.415787,Y -257.138580,Z 702.412842,A 139.814270,B 55.2934799,C 139.474197}
DECL E6POS XP4={X 291.856567,Y -228.768951,Z 702.447754,A 144.448013,B 41.3632278,C 144.174377}
DECL E6POS XP5={X 474.228943,Y -299.757935,Z 702.447754,A 152.395096,B 19.6481380,C 159.482544}
DECL E6POS XP6={X 496.978973,Y -70.9922485,Z 764.116333,A 152.242142,B 28.5645084,C -178.380615}
DECL E6POS XP7={X 538.231201,Y 235.696991,Z 702.447754,A 174.402664,B 33.1277695,C -132.208420}
DECL E6POS XP8={X 324.477631,Y 230.555481,Z 710.981262,A 164.550446,B 61.2551727,C -143.296509}
DECL E6POS XP9={X 177.825452,Y 237.273911,Z 700.839172,A 157.279968,B 76.6089935,C -152.817429}
DECL E6POS XP10={X 161.738937,Y 114.049538,Z 758.336792,A 122.749466,B 64.7348099,C 171.195038}
DECL E6POS XP11={X 206.714157,Y 149.676102,Z 606.983582,A -140.270386,B 54.5147324,C -130.940659}
DECL E6POS XP12={X 351.486176,Y 176.233521,Z 622.534485,A -150.675980,B 34.99051676,C -143.121628}
DECL E6POS XP13={X 489.766541,Y 178.956223,Z 603.017944,A -139.407944,B 8.31607437,C -156.738068}
DECL E6POS XP14={X 476.653839,Y 47.7524414,Z 662.578186,A -175.509857,B 26.4565277,C -165.154617}
